city,pickup_cluster,service_detail_id,week_period,time_period,demand,supply,mismatch_qr_level,fe_count,rr_count,net_count,fe_count_med,rr_count_med,net_count_med,mismtach_pred_tp,excess_supply_ratio,is_excess_supply,,Dashboard validation,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Thursday,evening_peak,58,88,-3,1344,304,215,314,55,40,-30,1.517241379,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Thursday,morning_peak,98,40.5,7.5,1930,548,291,495.5,131.5,79,57.5,0.413265306,no,,no,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Tuesday,afternoon,56,89,-3.5,1537,352,197,294,64,38,-33,1.589285714,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Tuesday,evening_peak,63,92,-3.5,1344,329,230,276,64,46,-29,1.46031746,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Tuesday,morning_peak,88,51.5,4.75,1937,444,263,454,110.5,63,36.5,0.585227273,no,,no,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Wednesday,afternoon,64,77,-2,1631,388,220,315,70,41,-13,1.203125,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Wednesday,evening_peak,63,91,-5.5,1593,337,210,357,66,43,-28,1.444444444,yes,,yes,
Chennai,Anakaputhur,5bed473f1278885df4ea9d57,Wednesday,morning_peak,90.5,53.5,4.5,2049,494,262,519,113,64,37,0.591160221,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Friday,afternoon,223,111,14,5023,1214,883,1005,246,181,112,0.497757848,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Friday,evening_peak,350,207,20.5,7082,1718,1268,1426,368,265,143,0.591428571,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Friday,morning_peak,230,61.5,21.75,3480,987,720,831,238,186,168.5,0.267391304,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Monday,afternoon,221,92,16.5,5065,1158,805,1016,223,159,129,0.416289593,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Monday,evening_peak,308,180,18.5,6297,1538,1119,1266,313,229,128,0.584415584,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Monday,morning_peak,298.5,50,30.5,5257,1356,696,1336.5,360,180.5,248.5,0.167504188,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Saturday,afternoon,239,136,13.5,6225,1275,886,1302,252,180,103,0.569037657,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Saturday,evening_peak,331,179,16.5,11995,1671,1043,2306,327,220,152,0.540785498,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Saturday,morning_peak,199.5,68,13.5,3086,792,632,817.5,195.5,150.5,131.5,0.34085213,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Sunday,afternoon,165,132,6.5,4923,917,694,983,167,130,33,0.8,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Sunday,evening_peak,260,149,12.5,7737,1389,1014,1573,274,207,111,0.573076923,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Sunday,morning_peak,136.5,58,10.25,2424,556,472,625.5,139,120.5,78.5,0.424908425,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Thursday,afternoon,194,110,9,4495,1020,742,895,206,153,84,0.567010309,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Thursday,evening_peak,305,199,14.5,5834,1517,1111,1085,292,222,106,0.652459016,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Thursday,morning_peak,227.5,60,23.75,3639,967,631,849.5,250,160.5,167.5,0.263736264,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Tuesday,afternoon,202,111,12.5,5091,1040,765,1029,200,151,91,0.54950495,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Tuesday,evening_peak,287,228,13.5,5828,1488,1111,1151,273,215,59,0.794425087,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Tuesday,morning_peak,214,60.5,21,3398,862,649,844,222,164.5,153.5,0.28271028,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Wednesday,afternoon,242,103,15.5,5263,1195,843,1056,229,162,139,0.425619835,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Wednesday,evening_peak,327,206,13,6504,1555,1123,1259,328,241,121,0.629969419,no,,no,
Chennai,Anna Nagar,5bed473f1278885df4ea9d57,Wednesday,morning_peak,227.5,60,19.75,3819,978,664,891,218,165,167.5,0.263736264,no,,no,
