city,pickup_cluster,pickup_hex_8,usecase_tag,fe_count,requested_orders,net_orders,high_income_%,high_income_thrshld,affluence_hi_tag,fe_bucket,flag_2
Bangalore,Hoskote_BLR,886189213bfffff,,101,10,2,20.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892139fffff,,50,3,0,38.0,32.0,High,0-60,Less fe
Bangalore,Hoskote_BLR,8861892135fffff,,2,1,1,50.0,32.0,High,0-60,Less fe
Bangalore,Hoskote_BLR,8861892133fffff,,74,20,3,20.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892131fffff,,23,5,0,29.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,886189212bfffff,,7,3,0,67.0,32.0,High,0-60,Less fe
Bangalore,Hoskote_BLR,8861892129fffff,,9,2,0,0.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,886189211dfffff,,25,1,1,11.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,886189211bfffff,,193,36,14,19.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892119fffff,,198,33,11,23.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892117fffff,,704,125,36,21.0,32.0,Less,451-3500,Less fe
Bangalore,Hoskote_BLR,8861892115fffff,,52,9,3,26.0,32.0,Less,0-60,Less fe
Bangalore,Hoskote_BLR,8861892113fffff,Unknown,921,193,50,22.0,32.0,Less,451-3500,Less fe
Bangalore,Hoskote_BLR,8861892111fffff,,420,91,22,21.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,886189210bfffff,,10,2,0,33.0,32.0,High,0-60,Less fe
Bangalore,Hoskote_BLR,8861892109fffff,,159,19,4,19.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892103fffff,,72,12,2,18.0,32.0,Less,61-450,Less fe
Bangalore,Hoskote_BLR,8861892101fffff,,150,20,4,26.0,32.0,Less,61-450,Less fe
Bangalore,Varthur,88618920edfffff,Unknown,794,136,49,33.0,32.0,High,451-3500,Less fe
Bangalore,Varthur,88618920ebfffff,residential,3829,877,278,39.0,32.0,High,3500+,High fe
Bangalore,Varthur,88618920e9fffff,educational,7562,1700,576,32.0,32.0,Less,3500+,High fe
Bangalore,Columbia Asia Whitefield,88618920e7fffff,residential,6278,1386,562,40.0,32.0,High,3500+,High fe
Bangalore,Varthur,88618920e5fffff,residential,7340,1606,657,42.0,32.0,High,3500+,High fe
Bangalore,Balagere,88618920e3fffff,Unknown,1475,393,136,42.0,32.0,High,451-3500,Less fe
Bangalore,Varthur,88618920e1fffff,Unknown,353,63,20,34.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur Road,88618920ddfffff,residential,2209,390,132,35.0,32.0,High,451-3500,Less fe
Bangalore,Sarjapur Road,88618920dbfffff,educational,743,173,45,35.0,32.0,High,451-3500,Less fe
Bangalore,Sarjapur Road,88618920d9fffff,Unknown,170,27,8,38.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur Road,88618920d7fffff,Unknown,217,58,21,34.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur Road,88618920d5fffff,residential,2868,635,182,45.0,32.0,High,451-3500,Less fe
Bangalore,Sarjapur Road,88618920d3fffff,Unknown,98,30,7,41.0,32.0,High,61-450,Less fe
Bangalore,Sarjapur Road,88618920d1fffff,residential,1044,211,80,46.0,32.0,High,451-3500,Less fe
Bangalore,Varthur,88618920cdfffff,Unknown,33,2,0,18.0,32.0,Less,0-60,Less fe
Bangalore,Sarjapur Road,88618920cbfffff,residential,1408,273,100,37.0,32.0,High,451-3500,Less fe
Bangalore,Varthur,88618920c9fffff,Unknown,432,70,27,42.0,32.0,High,61-450,Less fe
Bangalore,Varthur,88618920c7fffff,residential,1158,295,71,44.0,32.0,High,451-3500,Less fe
Bangalore,Varthur,88618920c5fffff,residential,5165,1149,382,44.0,32.0,High,3500+,High fe
Bangalore,Sarjapur Road,88618920c3fffff,residential,1558,298,87,40.0,32.0,High,451-3500,Less fe
Bangalore,Varthur,88618920c1fffff,residential,3292,683,249,41.0,32.0,High,451-3500,Less fe
Bangalore,Munnekollal Sankara Eye Hospital ,88618920bdfffff,residential,47578,10773,3774,45.0,32.0,High,3500+,High fe
Bangalore,Marathahalli Ring Road Junc,88618920bbfffff,residential,41986,8553,3200,43.0,32.0,High,3500+,High fe
Bangalore,Munnekollal,88618920b9fffff,office,29585,7678,2474,43.0,32.0,High,3500+,High fe
Bangalore,Marathahalli,88618920b7fffff,office,22805,4773,1597,41.0,32.0,High,3500+,High fe
Bangalore,Marathahalli,88618920b5fffff,residential,16476,3994,1499,47.0,32.0,High,3500+,High fe
Bangalore,Marathahalli Village,88618920b3fffff,residential,23573,5618,2018,39.0,32.0,High,3500+,High fe
Bangalore,Marathahalli Ring Road Junc,88618920b1fffff,residential,51585,10212,3608,38.0,32.0,High,3500+,High fe
Bangalore,Columbia Asia Whitefield,88618920adfffff,residential,5075,913,476,48.0,32.0,High,3500+,High fe
Bangalore,Marathahalli BEML Layout,88618920abfffff,office,19964,4490,1463,46.0,32.0,High,3500+,High fe
Bangalore,Columbia Asia Whitefield,88618920a9fffff,residential,10797,1672,775,41.0,32.0,High,3500+,High fe
Bangalore,Brookefield,88618920a7fffff,office,13079,2455,1016,43.0,32.0,High,3500+,High fe
Bangalore,Whitefield,88618920a5fffff,residential,7335,1370,708,40.0,32.0,High,3500+,High fe
Bangalore,AECS Layout Brookefield,88618920a3fffff,residential,40894,8966,4017,46.0,32.0,High,3500+,High fe
Bangalore,Brookefield,88618920a1fffff,residential,8173,1614,627,47.0,32.0,High,3500+,High fe
Bangalore,Kadubeesanahalli,886189209dfffff,residential,8366,2055,913,45.0,32.0,High,3500+,High fe
Bangalore,RMZ Ecospace - Bellandur,886189209bfffff,residential,23135,5019,1724,47.0,32.0,High,3500+,High fe
